"lambda[1]" "lambda[2]" "lambda[3]"
"1" 0.737701090635235 4.08410072266428 13.3534215575823
"2" 0.909713605340327 5.33398178689053 11.2341759769633
"3" 0.636065089435179 3.28627227104843 10.235251898909
"4" 0.630187126709815 3.99452528902623 11.079344313646
"5" 0.675964186376861 3.87198275529502 10.1641197244137
"6" 0.652322725544152 3.81162629584035 10.8771187988562
"7" 1.15317308086582 5.28790010936179 10.7963904069509
"8" 0.809538426251071 3.26473783246558 12.6759264306335
"9" 1.11465725184284 5.82148079804403 10.4550693138336
"10" 0.893170913583825 4.2907629517552 8.47111466975868
"11" 0.976682824653299 6.01264656862646 7.07738407590493
"12" 0.905331349615735 5.27643194988472 6.43648041317514
"13" 1.24804346771825 5.26133836776741 7.63509150131504
"14" 1.23355360467322 6.05145439077986 8.71585212236056
"15" 0.84122909176226 5.74675105847241 9.71944666679926
"16" 1.10644255351574 3.71195432687999 8.70698367038202
"17" 1.09716166884746 4.87429334834642 9.11329104401146
"18" 1.18498179778785 3.99824416235157 8.82583203854967
"19" 0.818828432711226 3.83055333490371 9.82985137015877
"20" 0.985838161984244 5.7383554877671 11.9652750585434
"21" 1.0290427903026 4.2068818939335 11.2279494111385
"22" 0.793030454219962 5.92716160599539 14.9500378909169
"23" 0.939793676495668 4.49264047666865 12.3622060616138
"24" 0.904627922201458 4.5114902279244 12.3004125023305
"25" 0.875111945317414 4.66313505102615 13.1460731867232
"26" 0.811882245014533 5.35983502105412 15.594279573496
"27" 0.877798565174413 4.45064235388468 12.0574900062678
"28" 0.918861776982771 4.70859585533454 12.3593184223756
"29" 0.847633483915174 5.11348851491367 11.9566049924322
"30" 0.879220309786528 3.81718015585098 10.2116504115261
"31" 0.919071615780481 4.33786709253226 12.0286080858085
"32" 1.04744058531197 4.66614096694197 11.6231903565696
"33" 0.822753503035676 4.0750071687078 10.2727608794658
"34" 0.921499990370308 5.1973369262275 13.095699396862
"35" 1.06636727676975 5.16038640309427 11.9540642966244
"36" 1.27429188825655 4.5152625894823 10.4906156547291
"37" 0.598717913234793 2.94668431199112 7.94846105278924
"38" 1.00096700724287 5.03922697929467 11.7655666166046
"39" 0.85780850829109 3.70091449937409 8.38678680267057
"40" 0.870912616086278 5.56275733633518 15.4088039016341
"41" 0.998017051583989 4.39006027237819 16.4520432646899
"42" 0.962402932886891 4.50826905711923 16.8538477525698
"43" 0.689899826445286 3.87834038747747 9.97589947096816
"44" 1.16498244707034 5.03405719531209 14.2741151408204
"45" 0.862302698621732 4.86771485255464 14.9984820179468
"46" 0.862207912554984 4.64884294451492 12.8490518464454
"47" 1.0661213942324 4.9245482798568 11.0475158902681
"48" 0.76707725573356 4.59179585012919 11.6110016465554
"49" 1.2374480331564 5.23048343587141 10.9729151137471
"50" 0.689721274660524 3.8102198538657 13.4088953738456
"51" 1.19798895492541 4.66588135039114 10.5517419482997
"52" 0.876717763537899 3.87804801238545 10.6006641754786
"53" 0.868067308697619 3.77886582924979 8.97302706047906
"54" 0.538603741383064 2.56605269085733 7.53724520221092
"55" 0.564511472046368 1.77601967072639 7.58099084350042
"56" 0.937162345580961 3.4475348826234 11.379094059719
"57" 0.930590028091934 2.9442835858042 10.3538499885579
"58" 0.810355703273397 4.3709385615076 7.9209455042626
"59" 1.15376134871028 5.52734235288226 9.52057495136176
"60" 1.174565055366 5.84776446296537 16.1076670918763
"61" 1.14976558686137 4.95115316837029 12.3820902465603
"62" 1.42411252114732 6.72591026103795 13.3791163427197
"63" 1.07875704863703 6.37218401380885 11.0566279158871
"64" 0.562762824559082 2.7950116393533 9.78737035163749
"65" 0.818201575536638 4.31231668282238 10.9462214706868
"66" 0.752406179233657 4.79730552037482 12.0988685448403
"67" 0.687025889675671 4.46795984320027 13.7722316447793
"68" 0.783644992098433 3.86962727563235 10.0481109878046
"69" 0.674232294333579 4.27296215106089 10.4885612348294
"70" 0.963582670388023 4.24351143128601 10.3475234723284
"71" 0.631931642836129 3.39607116238852 11.2181342902971
"72" 1.45728622853465 6.82579828441101 9.93358437476896
"73" 0.727857118279499 4.8796398637401 10.059860461085
"74" 1.17743969238622 4.67628188404396 15.300399148412
"75" 0.66940566542306 5.39613442528009 9.47438554337297
"76" 0.782400254100568 5.10141986265366 10.0016287779513
"77" 1.48663272776264 4.72038213359841 12.2335233161515
"78" 0.710642604302195 5.50711307977348 16.3121900153048
"79" 1.18108561210237 4.67406362458053 12.4472989106553
"80" 0.806309438522681 4.7263523134527 12.5219699968671
"81" 0.94144802187357 4.38800187465969 11.6552157817074
"82" 0.873974769251582 4.06251171146601 10.9451235830403
"83" 0.951933823092535 4.1426799666715 11.5115905142841
"84" 1.11371496402211 5.62666728932927 12.9957700921779
"85" 0.949913804777499 6.28734816230805 13.4111532442724
"86" 1.24600162511351 5.63226124846987 13.0938877652814
"87" 0.660299831349819 4.94017727510188 12.6771684410053
"88" 1.29494325889364 3.95569198588119 13.426745230906
