"Cluster_1_PC_1" "Cluster_2_PC_1"
"1" -6.30536895236221 -6.27942640638228
"2" -0.909908101711489 -0.644088633941405
"3" -2.34343586192396 -1.9283830474634
"4" 1.6461907741614 -3.37240216224372
"5" 6.83022067793301 2.33868773505233
"6" 2.01143967168795 -4.08731494142631
"7" -7.91199547293751 -4.2405335863266
"8" -1.17268850240183 0.111277138263744
"9" -0.843770912851289 -3.08155145006104
"10" 3.64580359706 -2.12012991626224
"11" 1.42877158076457 -1.540906032838
"12" -0.216444377999193 -2.80047450698372
"13" -1.18816184079978 1.03742791942436
"14" -5.5775722866015 -2.71434752251632
"15" -0.684495444763661 -0.278953432076856
"16" 0.244542008589731 -3.05236214150878
"17" 4.19157556499405 1.47029122685458
"18" 6.68592040929043 -0.0488194702473903
"19" 3.36049623047186 0.365150434241963
"20" 2.33953688086661 -2.80343738437281
"21" -2.19252913545383 -1.07302846276359
"22" -2.40930811240476 0.436794557948252
"23" -5.22455152063733 -7.60191243576307
"24" 3.03409042527483 -1.64590635912005
"25" -2.04012110691779 -0.534261389148402
"26" 1.08136000955033 2.10279574757655
"27" -1.89208910896171 -1.33961076633951
"28" -2.37643699705042 -5.3327863991498
"29" 3.49773487972326 1.92834218885339
"30" 0.759133974511307 -0.520559854618982
"31" 1.73856088434883 1.87019621909387
"32" -1.88106807077607 -0.190987280300172
"33" -1.67831658827321 1.35304126154302
"34" 1.38860855196057 1.55109489070541
"35" 2.76616288805505 2.0468232062106
"36" 1.66695460100757 -1.27359059871996
"37" 1.91850003131067 2.64749329215149
"38" 0.641712980894093 1.4761517694514
"39" -0.445648446081972 0.53922616180846
"40" 1.94393698565536 0.515309703556415
"41" 2.45243076946008 0.820129426429022
"42" -0.734594785234791 1.82145172583768
"43" -1.11819032261741 0.878056049481458
"44" 1.89198700522352 2.74549395760608
"45" 1.65381734140785 0.0887695627344396
"46" -1.22596511466975 1.60963807406823
"47" 0.367136558597134 2.54421563961015
"48" 1.62844771916061 1.29781104239015
"49" -2.64266194887454 0.100086562508853
"50" 3.21711363401349 2.01467777635576
"51" 5.11783642307747 2.60660359824798
"52" 3.84653362469815 3.15503590865264
"53" 1.06296558172592 0.643329968520841
"54" -3.52874967260727 -0.98354278922194
"55" -3.98702246122132 1.04518771989322
"56" 1.73674764423665 2.51798848996004
"57" -1.84039406898078 1.28733406587434
"58" -0.665304385657046 0.0597917772481592
"59" 1.34154109424086 3.79225644456632
"60" -1.21598092978161 -1.99367548367325
"61" -0.365963882394169 1.75440948621597
"62" -0.428751435461475 -0.833244149671484
"63" -0.555436186983885 1.11936629781267
"64" 3.94715878843839 1.68638822622928
"65" 1.77719034284399 3.18426502751298
"66" -1.78411252168158 1.49653811098723
"67" -1.26872467997966 0.473805996716685
"68" -1.50105118345455 -2.03510329796471
"69" -6.96884768319202 -0.829174420409315
"70" 0.66734275252273 1.91960204762425
"71" -1.44491050862868 0.0218312372703331
"72" -6.26763348618587 -0.889573059112476
"73" 0.315992484791611 1.40570782881264
"74" 1.78852988119176 0.957301130018972
"75" -3.4846357847174 -0.936159205632942
"76" 2.68881662949162 2.1690699543383
