"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "Year"
"34" 43700 75900 91700 67800 198000 12300 9110 26000 26300 32300 65500 30700 44400 25000 39000 42200 7830 16800 41700 61600 70500 16400 10200 26800 22600 22200 51200 129000 1970
"35" 44400 61200 71000 60400 131000 16000 10600 26100 32000 25600 65000 25600 39300 20100 29800 40700 8080 17700 30000 40200 47400 7780 12900 34100 24900 34700 63500 121000 1971
"36" 76000 118000 144000 92100 344000 18400 9470 42800 72400 41200 102000 24800 30300 22100 27000 45600 8940 17700 38500 60000 58500 7380 16700 27600 23700 35700 66900 134000 1972
"37" 38800 56200 69000 57700 118000 16300 8940 47300 66000 51000 82100 26300 31600 18800 26500 43600 7760 17800 39500 55400 56700 17200 15000 28000 21700 30900 57800 115000 1973
"38" 49600 70500 80000 97000 157000 21600 11200 33600 40000 31000 77100 25700 28600 22700 33400 54200 10200 23500 52500 81100 82800 19600 14400 26200 16300 23500 57400 149000 1974
"39" 56100 83600 99900 76400 162000 19400 12800 37400 53200 24600 96200 53700 54800 35000 55100 58300 8100 16600 34700 46300 49800 16000 18600 43700 37800 42800 78700 134000 1975
"40" 68200 1e+05 109000 74200 176000 19300 9870 38100 48200 39000 86100 29900 33700 18500 30300 45900 8460 20900 43400 58400 56300 11500 15800 23700 17400 22500 46400 105000 1976
"41" 58000 1e+05 96900 48600 128000 22000 11200 86500 75800 46200 106000 25200 29000 25000 28600 41100 7880 17000 31400 46000 43500 10900 12900 25600 23600 25500 53700 99300 1977
"42" 39100 48200 63700 90800 160000 19400 11500 54200 53300 42500 94300 33800 44200 26000 37500 73400 11300 23100 49500 71900 66700 16500 18500 44400 33800 47200 87400 178000 1978
"43" 50100 75300 84300 102000 206000 19500 11600 40000 55300 34600 86000 39400 50500 23600 37000 53000 9840 21900 48800 75600 74400 22500 18600 47700 36700 48400 85000 168000 1979
"44" 36400 51000 61800 83600 138000 12500 10700 29200 42600 25600 59200 30900 29400 27200 29800 35100 7590 18500 46200 55300 52400 7380 19300 19200 18800 22800 43600 87400 1980
"45" 70300 91200 113000 84900 203000 20000 13000 21100 25700 23300 68200 29800 28300 20800 20800 40000 10200 20600 43200 61600 66000 7390 10200 37300 29400 24100 65000 122000 1981
"46" 43800 59200 66600 65200 129000 22300 10100 23600 40800 29200 83500 26800 30800 23000 46700 40000 14000 32100 55300 78400 72900 21500 14500 35400 45000 48300 83800 154000 1982
"47" 34400 45300 51200 43600 117000 13400 12500 33100 37000 18700 81200 33600 44600 20000 37700 61500 10400 25000 59100 77300 76600 7590 10800 29900 36700 48700 91200 171000 1983
"48" 54700 80200 93500 52500 164000 12400 9910 30000 41200 35700 95900 33200 34900 16600 22500 77600 10900 20200 40000 51100 49300 25900 12100 28200 23500 27700 68000 131000 1984
"49" 62100 79700 89700 148000 205000 21000 11000 26500 40000 50400 89100 31700 34400 24500 31800 41100 14200 39100 79200 114000 110000 26700 27000 42400 33100 38800 84500 196000 1985
"50" 40800 54000 77100 82600 186000 16200 10800 17700 22400 27500 78800 24300 29100 27500 27600 39900 7810 17200 30800 38400 39600 5880 11900 21400 24100 24100 48800 84200 1986
"51" 48600 66200 71300 41500 120000 13600 10400 40300 79800 34300 94500 23800 25600 17600 17300 45300 5770 12600 23600 30500 31900 6480 4970 18800 7720 13300 26700 55800 1987
"52" 30700 44200 49400 52400 123000 8800 10800 8390 11500 22000 53400 23700 26600 10600 23100 48500 11000 21200 32600 33400 35000 15700 11400 23200 27200 29200 57200 96600 1988
"53" 53600 93100 102000 95800 161000 18700 11000 59200 74800 31900 86100 26900 31700 27800 41900 79300 11100 26400 39500 50200 53200 13800 15700 25400 25400 40100 76800 127000 1989
"54" 59900 90900 114000 83500 194000 29200 14500 23100 26400 31700 72200 33000 38600 39700 48700 50600 14900 34800 75200 83300 76000 22600 36800 49900 55500 47600 119000 199000 1990
"55" 46000 65200 79900 58100 216000 17900 11800 24700 28100 31100 80400 45600 41800 32900 45500 48400 8860 22200 70300 102000 106000 19200 35400 65200 50400 50100 109000 224000 1991
