"theta[1,1]" "theta[2,1]" "theta[3,1]" "theta[1,2]" "theta[2,2]" "theta[3,2]" "theta[1,3]" "theta[2,3]" "theta[3,3]"
"1" 0.412004234055599 0.655156103878004 0.477313305008736 0.561928888115322 0.294125218693101 0.326039707866913 0.0260668778290791 0.0507186774288954 0.196646987124351
"2" 0.712635668410401 0.509330505585523 0.530454403054118 0.261928080680581 0.359767801481546 0.411872293973762 0.0254362509090175 0.130901692932931 0.0576733029721199
"3" 0.346911991446631 0.463852697957974 0.313546935733702 0.6227463846273 0.427159069208703 0.602711941295459 0.0303416239260689 0.108988232833323 0.0837411229708395
"4" 0.530290340727762 0.596551343337698 0.223813870810317 0.466777855380983 0.335368999444016 0.527759321456909 0.00293180389125508 0.0680796572182863 0.248426807732774
"5" 0.583988424372063 0.437214279518707 0.669097302081623 0.363310224745296 0.407478353952295 0.299861749713496 0.0527013508826412 0.155307366528998 0.0310409482048813
"6" 0.508882911912114 0.511673730898647 0.429321356636353 0.465560330075151 0.376972997905918 0.471889696730468 0.0255567580127353 0.111353271195435 0.0987889466331783
"7" 0.499124078330361 0.543431550803616 0.846840496649442 0.438755348764846 0.24934527108607 0.0445979070759732 0.0621205729047929 0.207223178110314 0.108561596274584
"8" 0.523041900061987 0.490270287116706 0.390559937827477 0.453350157628944 0.375208944194866 0.529013176137677 0.0236079423090688 0.134520768688429 0.080426886034846
"9" 0.583963123283899 0.502171441593947 0.300889956800239 0.338593549348036 0.454257340391156 0.579235560288115 0.0774433273680651 0.0435712180148964 0.119874482911647
"10" 0.592864759700022 0.470174185096429 0.928755299361194 0.402481323785839 0.168244055491971 0.0703109129750094 0.0046539165141391 0.361581759411601 0.00093378766379619
"11" 0.569835482415777 0.466347028895172 0.297605605535484 0.422186856227476 0.353077622652143 0.694841900573531 0.00797766135674771 0.180575348452685 0.00755249389098478
"12" 0.529488145348456 0.564116887663472 0.692446842826971 0.468580100742703 0.263354892449569 0.0463942822701459 0.00193175390884115 0.172528219886959 0.261158874902883
"13" 0.587490483600758 0.415832441380858 0.346676642621905 0.277352953220479 0.428059977548186 0.650449185110314 0.135156563178764 0.156107581070956 0.00287417226778119
"14" 0.5176006898272 0.611023135455931 0.199194171058889 0.477704096531515 0.296349816876479 0.212332626552852 0.00469521364128461 0.0926270476675904 0.588473202388259
"15" 0.499185919195186 0.431935951991063 0.291027039599451 0.497381890048031 0.435880784040376 0.302089554392329 0.00343219075678336 0.132183263968561 0.40688340600822
"16" 0.571030998543904 0.30487157432016 0.729554189398937 0.308945468711924 0.480402631606421 0.256812462586713 0.120023532744173 0.214725794073419 0.01363334801435
"17" 0.531157914490135 0.320171321813584 0.576993516166497 0.408096228638829 0.488856382304839 0.364481501025809 0.0607458568710353 0.190972295881576 0.0585249828076939
"18" 0.401823183683631 0.48994336036693 0.339092003334343 0.58163096127356 0.220737938165227 0.515317863541688 0.0165458550428088 0.289318701467842 0.145590133123969
"19" 0.57455140984782 0.52797611215671 0.581210735871843 0.42434367311444 0.329041556947755 0.401213013630683 0.00110491703773907 0.142982330895534 0.0175762504974744
"20" 0.562950684452509 0.430913277862472 0.638930381564326 0.433279906882386 0.213534118246049 0.0608313693340044 0.00376940866510506 0.355552603891479 0.300238249101669
"21" 0.622172502314764 0.594560374794402 0.741956228342035 0.372181293079109 0.220852354902601 0.15317952920833 0.00564620460612669 0.184587270302997 0.104864242449635
"22" 0.682815968104397 0.435620510122341 0.779960022769724 0.308963056485714 0.305710835617545 0.118962894007072 0.00822097540988892 0.258668654260113 0.101077083223204
"23" 0.529528601022353 0.638953586358641 0.409825389967844 0.44518185864016 0.165625526575939 0.515502695750991 0.025289540337487 0.19542088706542 0.0746719142811648
"24" 0.556691646518038 0.31469850561799 0.243221255482017 0.360827840401968 0.382213739270545 0.750471062491038 0.0824805130799936 0.303087755111465 0.00630768202694476
"25" 0.550194668557379 0.473731695906156 0.7591095873159 0.445352076352034 0.454003040940199 0.0788801643729304 0.00445325509058758 0.0722652631536455 0.16201024831117
"26" 0.574327756860623 0.444790936510769 0.387779550823731 0.297594101457091 0.252326078029388 0.558044892297657 0.128078141682286 0.302882985459843 0.0541755568786121
"27" 0.512108265312232 0.411435650396569 0.760928365339117 0.481115015169067 0.359238919682108 0.152488207214137 0.0067767195187014 0.229325429921323 0.0865834274467464
"28" 0.558395552324683 0.476230562273161 0.350407750675335 0.423251285224993 0.3238118487826 0.52050591897794 0.0183531624503243 0.199957588944238 0.129086330346725
"29" 0.449291305703821 0.450502246637022 0.724902633045783 0.476872048353198 0.460790632684647 0.183500733645272 0.0738366459429809 0.0887071206783318 0.0915966333089459
"30" 0.646084235886814 0.275191660047194 0.462713488004609 0.318939204420157 0.275081092366153 0.51396113123069 0.0349765596930292 0.449727247586653 0.0233253807647013
